Country,2000,2008,2016,2024,lat,long,,,,,,,,,,
Mali,41.9,31.8,24.7,24,17.570692,-3.996166,,,,,,,,,,
Mauritania,30.4,18.8,22.3,21.1,21.00789,-10.940835,,,,,,,,,,
Mauritius,15.4,13.9,13.4,12.8,-20.348404,57.552152,,,,,,,,,,
Mexico,10.1,9.7,6.6,6.1,23.634501,-102.552784,,,,,,,,,,
Moldova (Rep. of),17.6,14.7,6.1,5.6,47.411631,28.369885,,,,,,,,,,
Mongolia,29.7,16.7,7.5,5.6,46.862496,103.846656,,,,,,,,,,
Montenegro,—,5.7,<5,<5,42.708678,19.37439,,,,,,,,,,
Morocco,15.5,11.7,8.7,9.2,31.791702,-7.09262,,,,,,,,,,
Mozambique,48.3,35.6,38.5,27.5,-18.665695,35.529562,,,,,,,,,,
Myanmar,40.2,29.9,17.1,15.7,21.913965,95.956223,,,,,,,,,,
Namibia,26.5,27.5,20.6,19.7,-22.95764,18.49041,,,,,,,,,,
Nepal,37.1,29.2,21.2,14.7,28.394857,84.124008,,,,,,,,,,
Nicaragua,21.7,17.1,14,13.6,12.865416,-85.207229,,,,,,,,,,
Niger,53.1,39.6,32.8,34.1,17.607789,8.081666,,,,,,,,,,
Nigeria,39.5,30.7,30.6,28.8,9.081999,8.675277,,,,,,,,,,
North Macedonia,7.6,5.3,5.1,<5,41.608635,21.745275,,,,,,,,,,
Oman,15.2,11.5,11.9,9.9,21.512583,55.923255,,,,,,,,,,
Pakistan,36.6,31.4,24.6,27.9,30.375321,69.345116,,,,,,,,,,
Panama,18.7,12.7,8.1,8,8.537981,-80.782127,,,,,,,,,,
Papua New Guinea,33.7,32.8,30,28.8,-6.314993,143.95555,,,,,,,,,,
Paraguay,11.5,7.5,5,6,-23.442503,-58.443832,,,,,,,,,,
Peru,21.1,13.7,7.6,7.4,-9.189967,-75.015152,,,,,,,,,,
Philippines,24.9,18.9,17.9,14.4,12.879721,121.774017,,,,,,,,,,
Qatar,—,—,—,—,25.354826,51.183884,,,,,,,,,,
Romania,7.9,5.7,5,<5,45.943161,24.96676,,,,,,,,,,
Russian Federation,10.4,5.9,5.4,<5,61.52401,105.318756,,,,,,,,,,
Rwanda,49.6,36.4,28.6,25.2,-1.940278,29.873888,,,,,,,,,,
Saudi Arabia,12.7,10.8,9.4,6.9,23.885942,45.079162,,,,,,,,,,
Senegal,34.3,22.1,16.1,15.3,14.497401,-14.452362,,,,,,,,,,
Serbia,—,5.9,<5,<5,44.016521,21.005859,,,,,,,,,,
Sierra Leone,57.2,45.2,32.8,31.2,8.460555,-11.779889,,,,,,,,,,
Slovakia,6,<5,<5,<5,48.669026,19.699024,,,,,,,,,,
Solomon Islands,20.4,18.2,21.7,19.4,-9.64571,160.156194,,,,,,,,,,
Somalia,63.3,59,49.8,44.1,5.152149,46.199616,,,,,,,,,,
South Africa,18,16.9,14,12.5,-30.559482,22.937506,,,,,,,,,,
South Sudan,—,—,—,—,4.859363,31.571251,,,,,,,,,,
Sri Lanka,21.7,17.6,15,11.3,7.873054,80.771797,,,,,,,,,,
Sudan,—,—,28.3,28.8,12.862807,30.217636,,,,,,,,,,
Suriname,14.8,10.6,11,10.9,3.919305,-56.027783,,,,,,,,,,
Syrian Arab Republic,13.9,16.9,25.9,30.3,34.802075,38.996815,,,,,,,,,,
Tajikistan,39.9,28.1,16,13.7,38.861034,71.276093,,,,,,,,,,
Tanzania (United Rep. of),40.5,29.7,25,22.7,-6.369028,34.888822,,,,,,,,,,
Thailand,18.9,12.2,9.5,10.1,15.870032,100.992541,,,,,,,,,,
Timor-Leste,—,44.8,29.4,27,-8.874217,125.727539,,,,,,,,,,
Togo,38.2,28.2,24.4,18.6,8.619543,0.824782,,,,,,,,,,
Trinidad & Tobago,10.8,10.6,8.6,10.8,10.691803,-61.222503,,,,,,,,,,
Tunisia,10.1,7.4,6.1,5.9,33.886917,9.537499,,,,,,,,,,
Türkiye,11.4,6.5,5.4,<5,38.963745,35.243322,,,,,,,,,,
Turkmenistan,20.2,14.4,10.5,9.5,38.969719,59.556278,,,,,,,,,,
Uganda,36.1,28.5,30.3,27.3,1.373333,32.290275,,,,,,,,,,
Ukraine,13,6.9,7.2,8.6,48.379433,31.16558,,,,,,,,,,
United Arab Emirates,5.1,6.3,<5,<5,23.424076,53.847818,,,,,,,,,,
Uruguay,7.6,5.3,<5,<5,-32.522779,-55.765835,,,,,,,,,,
Uzbekistan,24.3,13.2,5.9,<5,41.377491,64.585262,,,,,,,,,,
Venezuela (Boliv. Rep. of),14.3,8.7,14.4,15.1,6.42375,-66.58973,,,,,,,,,,
Vietnam,26.1,20.1,14.4,11.3,14.058324,108.277199,,,,,,,,,,
Yemen,41.6,36.8,39.6,41.2,15.552727,48.516388,,,,,,,,,,
Zambia,53.1,41.3,32.6,30.7,-13.133897,27.849332,,,,,,,,,,
Zimbabwe,35.3,29.9,28.5,27.6,-19.015438,29.154857,,,,,,,,,,
